depth [m],temp [K]
33.65083145,-25.47507618
37.25046633,-25.17771517
42.85827678,-24.87448974
50.66476168,-24.52779854
59.71742668,-24.23262232
67.83347224,-23.96573334
84.12906298,-23.46610705
105.6117792,-22.84643247
130.4123507,-21.94135572
175.235147,-20.35807509
214.7081002,-18.83746335
250.660793,-17.25360777
278.9101877,-15.96527339
307.4056435,-14.67222446
333.9127674,-13.38825964
366.1507322,-12.082102
393.3523832,-10.74075778
424.8124777,-9.316621629
453.1174346,-7.975047433
472.6276938,-7.032369344
480.9778942,-6.559305468
489.1971266,-5.903064451
