depth [m],radius [mm]
110.055,0.9307
119.795,0.89553
129.855,0.98035
132.055,1.09217
135.585,1.11623
139.755,0.96952
144.95,1.01495
149.655,1.07051
152.955,1.1766
159.555,1.12941
165.055,1.12998
170.555,1.07521
176.105,1.11751
179.355,1.08704
186.065,0.99642
189.325,1.07692
199.155,1.15811
208.705,1.11158
218.46,1.15368
224.445,1.24191
229.955,1.12812
237.655,1.09198
240.405,1.1609
243.305,1.27037
247.555,1.30794
249.755,1.1977
255.255,1.35985
259.455,1.0811
271.205,1.33003
277.805,1.33124
286.605,1.3175
299.78,1.42487
302.555,1.36377
306.405,1.43244
315.205,1.32055
321.805,1.36053
326.205,1.46855
330.605,1.41113
335.005,1.42282
341.605,1.43937
343.035,1.4889
353,1.40614
355.575,1.35786
357.15,1.4306
361.845,1.59685
366.245,1.49005
369.255,1.60297
374.055,1.53367
380.765,1.57736
382.965,1.51476
387.255,1.43568
392.645,1.68056
398.255,1.57404
404.855,1.56546
409.255,1.47072
414.645,1.48336
419.045,1.65345
422.455,1.54601
431.255,1.48359
434.335,1.47025
449.845,1.48463
456.445,1.26279
476.245,1.31294
486.255,1.08576
490.655,1.21933
498.245,1.32513
519.915,1.12299
526.845,1.27246
539.055,1.30088
553.245,1.38793
561.715,1.30771
570.815,1.35346
581.075,1.28618
585.805,1.53569
590.645,1.56988
595.155,1.37368
599.995,1.46239
605.605,1.36229
610.445,1.51257
614.955,1.35592
620.015,1.54165
624.305,1.52519
629.805,1.2962
640.255,1.59927
645.095,1.63365
651.145,1.51163
655.655,1.58655
661.045,1.59195
665.005,1.61773
672.595,1.58763
674.355,1.7269
680.295,1.63042
684.255,1.70165
695.255,1.73581
699.655,1.83573
705.045,1.79079
709.005,1.69171
715.055,1.77804
720.395,1.7727
724.955,1.66924
729.355,1.75447
734.855,1.64404
740.255,1.75964
746.295,1.68677
750.255,1.61913
755.755,1.8816
760.155,1.70045
765.105,1.70894
769.505,1.70704
775.555,1.6629
786.005,1.82344
795.355,1.8357
804.155,1.67409
812.955,1.82804
817.245,1.67868
830.555,1.73725
839.355,1.76663
848.155,1.86794
861.355,1.83032
870.155,1.81436
878.955,1.93393
883.355,1.91906
892.155,1.85844
905.355,1.85122
909.755,1.86855
918.555,1.98147
931.755,2.00129
940.555,2.04966
949.355,2.07048
959.255,1.95147
968.055,1.82598
981.255,1.77579
990.055,1.74071
998.855,1.95932
1011.5,1.78938
1021.29,1.61204
1030.1,1.77168
1040.98,1.96392
1049.89,1.86925
1058.69,1.99907
1069.69,2.02649
1082.45,2.11377
1093.89,2.22214
1100.49,2.28339
1109.3,2.23322
1120.3,2.16655
1129.1,2.16175
1142.95,2.21934
1147.36,2.26413
1160.56,2.29405
1168.26,2.39785
1179.26,2.39389
1188.06,2.50039
1199.06,2.49146
1207.86,2.34674
1218.86,2.29167
1227.65,2.55714
1238.65,2.35617
1249.65,2.47309
1258.45,2.45247
1271.65,2.51594
1278.26,2.56362
1289.26,2.41139
1298.06,2.55572
1313.45,2.53138
1320.06,2.7776
1331.06,2.8223
1337.65,2.88075
1353.06,2.63164
1359.65,2.63293
1368.45,2.64238
1383.86,2.81422
1392.65,2.94814
1401.45,2.55361
1408.06,2.58661
1423.45,2.55534
1432.26,2.66704
1441.06,2.87502
1447.65,2.74891
1458.65,2.62453
1469.65,2.59984
1478.45,2.72619
1489.45,2.64625
1500.45,2.93991
1510.9,3.03369
1520.69,2.79319
1531.69,3.13589
1547.31,3.17063
1553.69,3.06832
1558.1,2.86059
1561.51,3.11764
1570.31,2.98121
1580.1,3.17397
1588.89,3.01254
1603.86,3.15667
1610.45,3.18128
1619.26,3.23778
1630.26,3.01351
1643.45,3.18776
1650.06,3.0926
1658.86,3.27495
1672.06,3.45852
1680.86,3.2676
1689.65,3.08198
1700.65,3.26717
1711.65,3.56425
1720.45,3.08495
1729.26,3.41997
1741.9,3.17367
1757.86,2.98968
1771.06,2.91566
1782.06,2.80514
1790.86,2.69438
1799.65,2.91543
1810.65,2.91319
1821.65,2.76271
1832.65,2.89355
1841.45,2.95265
1850.26,2.87179
1861.26,2.77818
1872.26,2.84144
1881.06,3.04685
1889.86,3.12024
1900.86,2.99726
1911.86,3.06307
1920.65,2.87686
1929.45,3.02108
1940.45,3.15674
1949.26,3.17542
1960.26,3.06912
1969.06,3.30599
1980.06,3.5784
1991.06,2.94908
2002.06,3.17379
2010.86,3.13966
2017.45,3.43491
2028.45,3.80121
2035.06,3.32485
2037.26,3.115
2039.45,3.40896
2041.65,3.644
2043.86,3.13587
2050.45,3.42448
2063.66,3.59037
2072.45,3.2546
2081.26,3.69108
2087.86,3.564
2098.86,4.00355
2107.66,3.84248
2120.86,3.49618
2127.45,3.44538
2140.66,3.70966
2151.66,4.11069
2162.66,3.72184
2171.45,3.49584
2180.26,3.86259
2182.45,4.0326
2184.66,3.73125
2186.86,3.88592
2189.05,3.91758
2191.26,3.53812
2193.45,3.58054
2200.05,4.06635
2204.45,4.09335
2224.26,3.94002
2255.05,4.38194
2278.7,4.05414
2288.05,4.82553
2299.05,5.22345
