depth [m],temp [K]
10,-53.78
15,-53.91
20,-54.03
25,-54.14
30,-54.23
35,-54.3
40,-54.35
45,-54.37
50,-54.37
55,-54.37
60,-54.35
65,-54.32
70,-54.3
75,-54.26
80,-54.22
85,-54.19
90,-54.16
95,-54.11
100,-54.08
105,-54.05
110,-54.02
115,-53.98
120,-53.94
125,-53.9
130,-53.87
135,-53.83
140,-53.79
145,-53.75
150,-53.71
155,-53.67
160,-53.63
165,-53.58
170,-53.54
175,-53.5
180,-53.46
185,-53.41
190,-53.37
195,-53.33
200,-53.28
205,-53.24
210,-53.19
215,-53.15
220,-53.1
225,-53.06
230,-53.01
235,-52.97
240,-52.92
245,-52.87
250,-52.83
255,-52.78
260,-52.73
265,-52.69
270,-52.64
275,-52.59
280,-52.55
285,-52.5
290,-52.45
295,-52.41
300,-52.36
305,-52.31
310,-52.26
315,-52.22
320,-52.17
325,-52.12
330,-52.07
335,-52.02
340,-51.98
345,-51.93
350,-51.88
355,-51.83
360,-51.78
365,-51.73
370,-51.69
375,-51.64
380,-51.59
385,-51.54
390,-51.49
395,-51.44
400,-51.39
405,-51.34
410,-51.29
415,-51.25
420,-51.2
425,-51.15
430,-51.1
435,-51.05
440,-51
445,-50.95
450,-50.9
455,-50.85
460,-50.8
465,-50.75
470,-50.7
475,-50.65
480,-50.6
485,-50.55
490,-50.5
495,-50.45
500,-50.39
505,-50.34
510,-50.29
515,-50.24
520,-50.19
525,-50.14
530,-50.09
535,-50.04
540,-49.99
545,-49.93
550,-49.88
555,-49.83
560,-49.78
565,-49.73
570,-49.68
575,-49.63
580,-49.57
585,-49.52
590,-49.47
595,-49.41
600,-49.36
605,-49.31
610,-49.26
615,-49.2
620,-49.15
625,-49.1
630,-49.04
635,-48.99
640,-48.94
645,-48.88
650,-48.83
655,-48.77
660,-48.72
665,-48.67
670,-48.61
675,-48.56
680,-48.5
685,-48.45
690,-48.39
695,-48.34
700,-48.28
705,-48.23
710,-48.17
715,-48.12
720,-48.06
725,-48
730,-47.95
735,-47.89
740,-47.84
745,-47.78
750,-47.72
755,-47.67
760,-47.61
765,-47.56
770,-47.5
775,-47.44
780,-47.38
785,-47.33
790,-47.27
795,-47.21
800,-47.15
805,-47.1
810,-47.04
815,-46.98
820,-46.92
825,-46.86
830,-46.8
835,-46.75
840,-46.69
845,-46.63
850,-46.57
855,-46.51
860,-46.45
865,-46.39
870,-46.33
875,-46.27
880,-46.21
885,-46.15
890,-46.09
895,-46.03
900,-45.97
905,-45.91
