depth [m],acid [mol/L],conductivity [S/m],sscl [mol/L]
1.438,1.9052765473011e-06,4.41737164938435e-06,4.36811657242279e-07
1.715,2.66502312142813e-06,5.57376419253554e-06,3.94245324053937e-07
1.992,2.51167295269091e-06,5.43739900745898e-06,8.47779469334493e-07
2.269,2.66411454065385e-06,5.63952388187325e-06,6.92209656372336e-07
2.563,2.86625511531128e-06,5.92389523645177e-06,5.64003914745542e-07
2.815,2.40588150454621e-06,5.16238561620401e-06,2.96444106133101e-07
3.105,2.71713441217485e-06,5.7802129080782e-06,9.45073945193562e-07
3.359,1.96239209633933e-06,4.52935907933034e-06,5.02688125271857e-07
3.629,2.28319136277683e-06,5.04346456460723e-06,5.97955632883863e-07
3.899,2.926337590794e-06,5.99518073444232e-06,4.25156589821662e-07
4.17,1.75022565944183e-06,4.19288265171004e-06,4.31744236624619e-07
4.435,1.64664260602639e-06,4.0858567433524e-06,6.68392779469334e-07
4.965,2.65820545212802e-06,5.56996276490324e-06,3.29889082209656e-07
5.228,2.11102681576099e-06,4.75249471839942e-06,4.30730752501087e-07
5.491,1.87004345517713e-06,4.42716354925239e-06,6.33934319269247e-07
5.752,1.69588716709452e-06,4.16846475485002e-06,6.69406263592866e-07
6.013,1.66076187202124e-06,4.25568027514721e-06,1.32209003914746e-06
6.272,2.1148610005404e-06,4.80228325088738e-06,6.08090474119182e-07
6.531,2.7843294075255e-06,5.82856139334476e-06,5.85287081339713e-07
6.788,2.6161912846395e-06,5.50702146941421e-06,2.84282296650718e-07
7.045,2.92206294920186e-06,6.03101168331486e-06,5.25491518051327e-07
7.3,1.61209377568486e-06,4.02074308255426e-06,5.44747716398434e-07
7.555,1.94528155773011e-06,4.52383368544254e-06,4.93060026098304e-07
7.808,1.47917456655448e-06,3.78917927879671e-06,4.07420617659852e-07
8.061,1.97074837322767e-06,4.533504027402e-06,3.42557633753806e-07
8.312,2.20330680379757e-06,4.91637628099478e-06,4.51050841108627e-07
8.563,1.48922568404203e-06,3.79744801878105e-06,3.56746411483254e-07
8.812,1.90456049717967e-06,4.45269900173605e-06,4.22116137451066e-07
9.061,1.68405634797096e-06,4.1423850389806e-06,5.53362331448456e-07
9.309,2.32382342710856e-06,5.11116545286328e-06,4.66202696824706e-07
9.557,2.3742714318277e-06,5.18464745506089e-06,4.39345367551109e-07
9.803,2.67864583791873e-06,5.74090490628074e-06,8.36631143975642e-07
10.049,2.54254204318277e-06,5.43570786608912e-06,3.86137451065681e-07
10.293,2.38212060058889e-06,5.16215842785541e-06,2.57931709438886e-07
10.537,2.27076886095177e-06,5.05052914068124e-06,5.31065680730752e-07
10.8,2.51282632283212e-06,5.40070878521931e-06,4.15021748586342e-07
11.023,2.12253646632402e-06,4.77583214390554e-06,3.04551979121357e-07
11.264,1.72877590530041e-06,4.17915687648991e-06,3.50665506742062e-07
11.505,2.02182714158787e-06,4.63525126334998e-06,3.61307090039147e-07
11.746,1.91916761310297e-06,4.50354554732087e-06,4.79884732492388e-07
11.95,2.14533458221364e-06,4.79721037655054e-06,2.1587211831231e-07
12.225,2.12215224819102e-06,4.87719817011723e-06,7.46431056981296e-07
12.463,2.47840861311228e-06,5.31805244185288e-06,2.30567638103523e-07
12.71,2.30701411499708e-06,5.12415323119513e-06,5.53362331448456e-07
12.937,2.30069223329362e-06,5.16125575474483e-06,7.64673771204872e-07
