depth [m],acid [mol/L],conductivity [S/m],sscl [mol/L]
577,NaN,4.41911883595401e-06,1.49236201156187e-07
577.0262,5.08942758709775e-07,5.68899689540591e-06,3.13564258486655e-07
577.0505,5.23288339249861e-07,5.77252792044493e-06,4.64688741641896e-07
577.0748,3.95410981569444e-07,5.3925486508944e-06,2.36486176455126e-07
577.0991,4.41466708460135e-07,5.54082002849498e-06,3.53718960614318e-07
577.1234,9.21125703792798e-07,6.65154291010826e-06,2.44408402790549e-07
577.1477,1.15644314365904e-06,7.16465035391988e-06,9.31779354697063e-08
577.172,1.13846139296281e-06,7.10125250853441e-06,3.050487822214e-08
577.1963,8.69942511953641e-07,6.47453642022756e-06,7.65998746119229e-08
577.2206,6.35202076690419e-07,5.91205665332119e-06,7.20874427893191e-08
577.2449,7.54432478887183e-07,6.37354653931492e-06,6.13842493837198e-07
577.2692,1.07213225726517e-07,4.91133677761064e-06,8.73422278374266e-07
577.2935,9.69170033989405e-09,5.02274422949509e-06,1.93053000003217e-06
577.3178,1.51632021749355e-07,5.0412734394269e-06,9.46395786866056e-07
577.3421,6.0562668279066e-08,4.77190671504861e-06,7.87683755241046e-07
577.3664,6.60383339484079e-07,6.0691703177413e-06,3.69549065073877e-07
577.3907,9.91788741750634e-07,6.85190957766148e-06,3.4103746199549e-07
577.415,1.32551775325368e-06,7.58789430909425e-06,1.52006642799302e-07
577.4393,4.36972183925647e-06,1.52179420502296e-05,1.24037892403144e-06
577.4636,2.16868681165711e-06,1.00873526641118e-05,1.63837623048111e-06
577.4879,3.62931985951892e-07,5.44693291517991e-06,6.41579852454788e-07
577.5122,4.20258701238708e-07,5.53612990947948e-06,4.94866498448419e-07
577.5365,3.399448424126e-07,5.25571527136216e-06,2.23370022079184e-07
577.5608,4.36241071571481e-07,5.52136515384075e-06,3.32341906644937e-07
577.5851,4.01231664229951e-07,5.41089992233207e-06,2.50112464252738e-07
577.6094,7.71625910844436e-07,6.33784944377426e-06,3.78199893363831e-07
577.6337,1.72491445519822e-06,8.55824581799694e-06,2.00578655237546e-07
577.658,1.89000243484616e-06,8.95279661736342e-06,2.0059344550852e-07
577.6823,1.6958222586966e-06,8.57807506668464e-06,4.74792848597562e-07
577.7066,1.47957476449663e-06,7.98770468010609e-06,2.49063260305083e-07
577.7309,1.36917428104734e-06,7.70159100171137e-06,1.80734312429718e-07
577.7552,8.68869145365154e-07,6.63381010551902e-06,5.73242491727226e-07
577.7795,5.21862597685565e-07,5.92203369056021e-06,9.33940438133086e-07
577.8038,5.25254247586266e-07,5.84978787620786e-06,6.87361886640906e-07
577.8281,7.52660936252241e-07,6.67726200644763e-06,1.55886072013236e-06
577.8524,6.59557255186301e-07,6.11014571621482e-06,5.01350694084868e-07
577.8767,4.37397093505581e-07,5.48118732017507e-06,2.00568026524403e-07
577.901,8.14328563033477e-07,6.52104227792033e-06,6.27189338282298e-07
577.9253,1.35881251776789e-06,7.86686109485693e-06,7.63899833571916e-07
577.9496,1.18261131964813e-06,7.36004247764489e-06,5.00720064280988e-07
577.9739,9.48796429116442e-07,7.32353173789083e-06,2.10311198620184e-06
578,2.94513842725607e-07,5.56190818186749e-06,1.4953831134288e-06
578.0262,0,4.52126424186071e-06,4.61630379612275e-07
578.0506,3.5643623526322e-07,5.30830140525399e-06,2.6234199841422e-07
578.075,4.52185188892435e-07,5.6928069876559e-06,7.4002027345838e-07
578.0994,3.82178628555166e-07,5.51509121470914e-06,7.08107744130447e-07
578.1238,NaN,4.42553394347531e-06,1.67575522682131e-07
578.1482,5.36761480108104e-07,5.88928863601089e-06,7.22663202246755e-07
578.1726,1.00069898594751e-06,6.82965975975621e-06,2.0577420384594e-07
578.197,1.07319697035406e-06,7.1025674429917e-06,5.11523427603212e-07
578.2214,4.81890844348905e-07,5.68515957455914e-06,4.98690356883986e-07
578.2458,4.12141297270201e-07,5.49219748950049e-06,4.18107559972663e-07
578.2702,1.3719927664513e-07,4.86003137734191e-06,4.94661562020723e-07
578.2946,1.56449710051763e-07,4.95273295975974e-06,6.37944911444058e-07
578.319,7.74213529413177e-07,6.4777375838052e-06,7.86910715419436e-07
