Name,Location,Region,Years Drilled,Type,Lat,Lon,Ice Thickness,Drilled Depth,Temperature,Chemistry,Conductivity,Grain_Size,Original Publication
BIS9845,Bindschadler ice stream,West,1998,Borehole,-81.0736,-140.0053,1086,NaN,y,NaN,NaN,NaN,https://www.cambridge.org/core/journals/annals-of-glaciology/article/thermal-regime-and-dynamics-of-the-west-antarctic-ice-sheet/C4DE27B2686B52416C4A0CFB8021920C
Byrd,Byrd station,West,1966–1968,Borehole,-80.0167,-119.5167,2300,1530,y,NaN,NaN,NaN,https://www.cambridge.org/core/journals/annals-of-glaciology/article/byrd-station-drilling-196669/3A5AB888B8D7F9032F0C435D43D16A51
CIRD,Crary Ice Rise,West,1987–1988,Borehole,-83.0394,-172.9475,480,NaN,y,NaN,NaN,NaN,https://www.cambridge.org/core/journals/annals-of-glaciology/article/age-of-crary-ice-rise-antarctica-determined-from-temperaturedepth-profiles/C50D6867D25016F78712EADAA18F94A9
DomeC,Dome C,East,1999–2004,Borehole,-75.1,123.4,3273,3233,y,NaN,y,y,https://www.nature.com/articles/nature02599#Sec10
DomeF,Dome Fuji,East,2003-2007,Borehole,-77.3167,39.6667,3028,3810,y,NaN,NaN,NaN,https://tc.copernicus.org/articles/14/4021/2020/
ER9612,Engelhardt Ice Ridge,West,1996,Borehole,-82.6767,-135.8253,1123.9,NaN,y,NaN,NaN,NaN,https://www.cambridge.org/core/journals/annals-of-glaciology/article/thermal-regime-and-dynamics-of-the-west-antarctic-ice-sheet/C4DE27B2686B52416C4A0CFB8021920C
KIS0012,Kamb ice stream,West,2000,Borehole,-82.3667,-136.4,949.4,NaN,y,NaN,NaN,NaN,https://www.cambridge.org/core/journals/annals-of-glaciology/article/thermal-regime-and-dynamics-of-the-west-antarctic-ice-sheet/C4DE27B2686B52416C4A0CFB8021920C
KIS006,Kamb ice stream,West,2000,Borehole,-82.4325,-136.4022,1191.8,NaN,y,NaN,NaN,NaN,https://www.cambridge.org/core/journals/annals-of-glaciology/article/thermal-regime-and-dynamics-of-the-west-antarctic-ice-sheet/C4DE27B2686B52416C4A0CFB8021920C
KIS009,Kamb ice stream,West,2000,Borehole,-82.3997,-136.4044,1033.5,NaN,y,NaN,NaN,NaN,https://www.cambridge.org/core/journals/annals-of-glaciology/article/thermal-regime-and-dynamics-of-the-west-antarctic-ice-sheet/C4DE27B2686B52416C4A0CFB8021920C
KIS962,Kamb ice stream,West,1996,Borehole,-82.445,-135.9767,1189,NaN,y,NaN,NaN,NaN,https://www.cambridge.org/core/journals/annals-of-glaciology/article/thermal-regime-and-dynamics-of-the-west-antarctic-ice-sheet/C4DE27B2686B52416C4A0CFB8021920C
Kohnen,Kohnen,East,2002-2006,Borehole,-75,0,2750,2892,y,NaN,NaN,NaN,https://tc.copernicus.org/articles/14/4021/2020/
LawDome,Law Dome,East,NaN,Borehole,-66.7667,112.8,1196,NaN,y,NaN,NaN,NaN,https://www.cambridge.org/core/journals/journal-of-glaciology/article/inferring-geothermal-heat-flux-from-an-iceborehole-temperature-profile-at-law-dome-east-antarctica/766F206C214CCA9DEB7C205D679FCB31
SipleDome,Siple Dome,West,1997,Borehole,-81.6583,-148.8083,1004.6,NaN,y,y,y,y,https://www.cambridge.org/core/journals/annals-of-glaciology/article/thermal-regime-and-dynamics-of-the-west-antarctic-ice-sheet/C4DE27B2686B52416C4A0CFB8021920C
