depth [m],conductivity [S/m]
7,4.67284e-06
8,4.65953e-06
9,4.62354e-06
10,4.70394e-06
11,4.63644e-06
12,5.23804e-06
13,4.85688e-06
14,4.52439e-06
15,4.40394e-06
16,4.44939e-06
17,4.40844e-06
18,4.19e-06
19,4.1763e-06
20,4.6658e-06
21,5.08001e-06
22,4.63309e-06
23,5.4567e-06
24,4.9833e-06
25,5.21849e-06
26,5.38296e-06
27,5.88916e-06
28,5.60382e-06
29,6.59088e-06
30,7.92763e-06
31,6.18611e-06
32,6.13467e-06
33,6.72599e-06
34,6.74996e-06
35,6.44671e-06
36,7.03118e-06
37,9.10761e-06
38,8.77708e-06
39,7.43559e-06
40,6.74747e-06
41,7.76326e-06
42,6.91401e-06
43,6.96579e-06
44,7.54688e-06
45,7.69587e-06
46,7.81089e-06
47,8.37753e-06
48,7.71379e-06
49,8.02087e-06
50,8.4863e-06
51,8.65462e-06
52,8.45097e-06
53,8.44788e-06
54,8.75046e-06
55,8.1747e-06
56,8.18804e-06
57,7.86525e-06
58,8.94068e-06
59,9.04757e-06
60,1.2076e-05
61,8.24364e-06
62,8.80184e-06
63,8.66101e-06
64,8.76483e-06
65,9.07388e-06
66,8.5038e-06
67,9.72005e-06
68,8.80856e-06
69,1.06453e-05
70,8.64863e-06
71,9.39389e-06
72,9.65443e-06
73,1.02556e-05
74,1.00118e-05
75,1.05079e-05
76,1.13911e-05
77,1.14454e-05
78,1.07063e-05
79,1.03914e-05
80,1.06284e-05
81,1.19507e-05
82,1.09391e-05
83,1.1268e-05
84,1.13951e-05
85,1.20466e-05
86,1.15489e-05
87,1.16811e-05
88,1.07712e-05
89,1.05892e-05
90,1.13587e-05
91,1.27917e-05
92,1.02261e-05
93,1.13547e-05
94,1.25979e-05
95,1.19865e-05
96,1.18384e-05
97,1.41659e-05
98,1.19631e-05
99,1.18472e-05
100,1.38527e-05
101,1.15618e-05
102,1.44172e-05
103,1.13519e-05
104,1.41002e-05
105,1.28698e-05
106,1.33538e-05
107,1.40301e-05
108,1.21558e-05
109,1.16298e-05
110,1.15125e-05
111,1.29648e-05
112,1.30339e-05
113,1.22781e-05
114,1.42588e-05
115,1.30497e-05
116,1.22103e-05
117,1.24522e-05
118,1.26205e-05
119,1.2494e-05
120,1.40508e-05
121,1.28277e-05
122,1.34965e-05
123,1.19973e-05
124,1.11897e-05
125,1.35811e-05
126,1.31231e-05
127,1.35278e-05
128,1.27628e-05
129,1.25647e-05
130,1.26942e-05
131,1.66668e-05
132,1.67053e-05
133,1.52905e-05
134,1.40952e-05
135,1.46021e-05
136,1.32607e-05
137,1.30728e-05
138,1.29611e-05
139,1.28506e-05
140,1.51753e-05
141,1.42122e-05
142,1.82616e-05
143,1.61392e-05
144,1.43129e-05
145,1.39579e-05
146,1.3431e-05
147,1.32408e-05
148,1.44639e-05
149,1.77352e-05
150,1.31902e-05
151,1.30415e-05
152,1.26966e-05
153,1.32255e-05
154,1.23815e-05
155,1.43277e-05
156,1.41721e-05
157,1.53572e-05
158,1.36786e-05
159,1.31463e-05
160,1.4033e-05
161,1.21172e-05
162,1.25154e-05
163,1.51163e-05
164,1.39014e-05
165,1.3038e-05
166,1.24735e-05
167,1.41604e-05
168,1.2398e-05
169,1.40018e-05
170,1.414e-05
171,1.33365e-05
172,1.36278e-05
173,1.31833e-05
174,1.3189e-05
175,1.43707e-05
176,1.27739e-05
177,1.23203e-05
178,1.23901e-05
179,1.28895e-05
180,1.41226e-05
181,1.30369e-05
182,1.21251e-05
183,1.3363e-05
184,1.19337e-05
185,1.39431e-05
186,1.52446e-05
187,1.35046e-05
188,1.35732e-05
189,1.34774e-05
190,1.45337e-05
191,1.31838e-05
192,1.3302e-05
193,1.36517e-05
194,1.45861e-05
195,1.3829e-05
196,1.33718e-05
197,1.29361e-05
198,1.36005e-05
199,1.39038e-05
200,1.31038e-05
201,1.29391e-05
202,1.3434e-05
203,1.31794e-05
204,1.48794e-05
205,1.40404e-05
206,1.34817e-05
207,1.54991e-05
208,1.37089e-05
209,1.65302e-05
210,1.81662e-05
211,1.41148e-05
212,1.29686e-05
213,1.32606e-05
214,1.83556e-05
215,1.33834e-05
216,1.78843e-05
217,1.38411e-05
218,1.35781e-05
219,1.73507e-05
220,1.44284e-05
221,1.47148e-05
222,1.33939e-05
223,1.60596e-05
224,1.40903e-05
225,1.37789e-05
