depth [m],temp [K]
0.612807681,-21.19822155
46.77473481,-21.7873939
87.54395436,-21.95829668
127.9279805,-22.0010937
180.7695114,-22.00194964
225.2681034,-21.95915262
273.3209799,-21.90608431
334.4003969,-21.81364274
383.6701344,-21.69980266
438.0261756,-21.58710383
487.6986153,-21.3728334
549.3295592,-21.07068642
601.7683879,-20.67495661
660.7642587,-20.06895076
714.1398077,-19.40702347
763.9610721,-18.59559191
812.3728789,-17.69713973
857.7206472,-16.7233648
890.6897005,-15.88311657
930.1282519,-14.81632944
966.2226243,-13.80945814
1000.706188,-12.77690863
1038.726527,-11.55833472
1070.531246,-10.5637319
1096.663116,-9.692384507
1133.702963,-8.414750707
1163.616733,-7.378492118
1180.775348,-6.809291709
