depth [m],acid [mol/L],conductivity [S/m],sscl [mol/L]
4.32,4.54083806680671e-06,2.16320049096795e-05,4.76388212266203e-06
4.83,3.35714992867643e-06,1.90979670564478e-05,6.93760218278673e-06
5.61,4.22680386288763e-06,2.11712880375293e-05,5.87162026968247e-06
6.29,2.94510943311478e-06,1.8302234436967e-05,7.90061548499348e-06
6.75,3.07465442898423e-06,1.8914006269802e-05,8.52273916636892e-06
7.52,3.05695913852445e-06,1.81545980528117e-05,6.67271191762579e-06
8.02,4.20965480485207e-06,2.09431164506231e-05,5.36928362873858e-06
8.44,3.49124728623169e-06,2.01369799133781e-05,8.58775772074815e-06
9.035,2.72487082768084e-06,1.87847327058411e-05,1.07427718648607e-05
9.775,2.13295444320124e-06,1.55020646461233e-05,6.60031535450196e-06
10.29,3.30259390448349e-06,1.9728521080941e-05,8.89694922350105e-06
10.71,3.64301045751062e-06,2.06141489887915e-05,8.66782296650718e-06
11.295,2.18370359193451e-06,1.566925478572e-05,6.63882775119617e-06
11.728,2.76070902079784e-06,1.67038989786635e-05,5.04552886020853e-06
12.088,2.51890773405001e-06,1.63836186101502e-05,5.99982601130927e-06
12.45,2.50901249627666e-06,1.63290507289539e-05,5.92685515441496e-06
12.938,2.98082747750188e-06,1.74635844831296e-05,5.36928362873858e-06
13.223,2.6917168548979e-06,1.77872922155184e-05,8.34350804697695e-06
13.57,3.18634655635809e-06,1.82858788160488e-05,5.9705424845801e-06
13.88,3.73736838108822e-06,2.32836524906446e-05,1.48380594563966e-05
14.163,3.19000365703836e-06,1.81210381359982e-05,5.50803567239432e-06
14.425,1.96732451589416e-06,1.49824248774908e-05,6.42043547461536e-06
14.77,3.38940248521332e-06,2.03769654354177e-05,9.86821352909119e-06
15.16,2.84987537006445e-06,1.74973136527685e-05,6.39520783031432e-06
15.58,1.93553712820619e-06,1.51004427844456e-05,6.94692692474989e-06
15.92,3.15584638477235e-06,1.75478541429024e-05,4.25156589821662e-06
16.31,5.00673591667955e-06,2.31345380953364e-05,5.01877337973032e-06
16.77,2.27373554875584e-06,1.60297377144552e-05,6.83595041322314e-06
17.17,3.07823870011906e-06,1.75107987985007e-05,4.71270117442366e-06
17.62,4.3974626733083e-06,2.21515803783106e-05,6.96060896041757e-06
18.19,4.32022673504116e-06,2.09224245873449e-05,4.34075250108743e-06
18.62,4.32689216563169e-06,2.15334205086851e-05,5.86655284906481e-06
19.09,2.63538818870749e-06,1.92591416223077e-05,1.24891648542845e-05
19.38,3.15559315941962e-06,1.8915100329589e-05,7.7448868004201e-06
19.78,3.1297606643458e-06,1.85932961180038e-05,7.09737726336e-06
20.18,3.10258459602926e-06,1.81925915261929e-05,6.25573075250109e-06
20.57,3.07675210095544e-06,1.77264754356877e-05,5.23515224010439e-06
20.89,2.16887621969755e-06,1.50561680502084e-05,5.03904306220096e-06
21.26,2.87529103772448e-06,1.74260267531446e-05,5.93901696389735e-06
21.64,4.332895648443e-06,2.15245913404672e-05,5.75190290063773e-06
22.11,3.87655638507247e-06,2.01009055465554e-05,5.43655734687469e-06
22.5,2.22964062143228e-06,1.68593185553017e-05,9.22726620269683e-06
22.92,3.6585194820163e-06,1.9050406070997e-05,4.30882775119617e-06
23.22,2.54136779827636e-06,1.76014554199692e-05,8.82035232709874e-06
23.76,3.82480242887124e-06,2.01036267786281e-05,5.77713054493877e-06
24.17,1.51979925138871e-06,1.46143522934514e-05,8.6320589583401e-06
24.6,3.96989655032562e-06,2.04902541017097e-05,5.6775380600261e-06
25.03,5.09618613659563e-07,1.07305128964461e-05,6.04941753871323e-06
25.32,1.59839654696785e-06,1.46727604025469e-05,8.17307421092714e-06
25.73,4.92913203725553e-06,2.27460957942656e-05,4.3727916788474e-06
26.02,5.31619967260744e-06,2.47747015897332e-05,6.7396694214876e-06
26.39,0,1.04014003768532e-05,8.94254364933856e-06
26.68,0,1.05967695399521e-05,9.44123205370491e-06
27.07,0,8.93669047561092e-06,5.14596790116492e-06
27.46,4.15601150665858e-06,2.10975329856e-05,5.78142018268813e-06
27.83,0,1.12697578453545e-05,1.11550503483485e-05
28.22,5.88547402482665e-06,2.76302135836565e-05,9.82196284787261e-06
28.5,7.10047670195296e-07,1.15795606226168e-05,6.68532573977631e-06
28.83,9.24118999516491e-06,3.64728456424599e-05,7.78507829491083e-06
29.12,5.30182626790477e-06,2.5173923317336e-05,7.76936929099608e-06
29.46,5.5729959186943e-06,2.48736426716634e-05,4.97570030448021e-06
29.7,4.97910360088052e-06,2.33453235503305e-05,5.41973891734067e-06
30,4.44370301011876e-06,2.21173608439633e-05,6.20454980426272e-06
30.23,3.0260414631628e-06,1.8596380721751e-05,7.61033936414787e-06
30.62,4.54111906243047e-06,2.31914042414781e-05,8.24418660287081e-06
30.85,3.18194127026434e-06,1.85369311308244e-05,6.29429725311015e-06
31.25,3.51903430045138e-06,1.90108867180194e-05,5.01609660852398e-06
31.51,3.28307622339831e-06,1.98170948560669e-05,8.83808472013195e-06
31.79,4.32337329031031e-06,2.20695778672758e-05,6.94337973031753e-06
32.13,3.0471027317259e-06,1.8563678327748e-05,7.34124449160342e-06
32.44,2.46828928157962e-06,1.69202969124575e-05,7.37908595805498e-06
32.82,3.47414508984386e-06,1.92085366218351e-05,5.82338122615735e-06
33.04,3.74606584877537e-06,2.06756379893097e-05,7.58643540669857e-06
33.25,3.80146569067266e-06,1.99917617434807e-05,5.40712509519015e-06
33.44,4.7908275565404e-06,2.41821824506545e-05,8.87964114832536e-06
33.8,3.57854741821508e-06,1.90314542880963e-05,4.56574597651153e-06
34.16,3.90584674793258e-06,2.2139714419226e-05,1.01424423662462e-05
34.63,2.30393533061828e-06,1.74190771561705e-05,9.82196284787261e-06
34.84,2.74178597375105e-06,1.74512004156501e-05,6.65808394954328e-06
35.19,2.85142254402796e-06,2.0310514497562e-05,1.32024671842123e-05
35.4,3.39733999719153e-06,1.87116906964613e-05,5.03711964544152e-06
35.67,3.40186308560038e-06,1.90066447591242e-05,5.75557633753806e-06
35.92,3.35675572570874e-06,1.97394912067973e-05,7.96953240539365e-06
36.26,2.60988348351058e-06,1.89839470066715e-05,1.1546117877338e-05
36.68,2.85149108014205e-06,1.80314879358478e-05,7.29919841776835e-06
36.93,4.62066336708884e-06,2.239562563751e-05,5.43683558068726e-06
37.15,3.68559814557313e-06,1.96694215677647e-05,5.33564676967052e-06
37.39,2.39117293371357e-06,1.59678425532624e-05,5.38362766420183e-06
37.84,2.58538741091118e-06,1.71974086645231e-05,7.10553719008264e-06
38.2,3.49642361887511e-06,1.9728791966757e-05,6.87032846465062e-06
38.6,3.42338453448795e-06,1.90256129532607e-05,5.58936494127882e-06
38.83,3.43499533194351e-06,1.86509490130188e-05,4.53256675942067e-06
39.12,2.05482696006737e-06,1.44402219545609e-05,3.90546107003045e-06
39.39,2.12700158779772e-06,1.46768179971218e-05,3.97335397741422e-06
39.72,2.8731667710947e-06,1.78254839766388e-05,6.54236908873707e-06
40.07,3.08473587293922e-06,1.84053886890205e-05,6.45827694106692e-06
40.36,2.75785948973691e-06,1.70525853470944e-05,5.39021531100478e-06
40.65,2.98516258182458e-06,1.74629890063529e-05,4.75526750761201e-06
40.925,2.66171914511193e-06,1.64646051132145e-05,4.57461283325574e-06
41.38,2.58707533224222e-06,1.68281900873184e-05,6.0499934754241e-06
41.64,2.53597015838177e-06,1.77845636459134e-05,8.88013079396702e-06
41.85,3.77970513447253e-06,2.00751833946401e-05,5.55591996520226e-06
42.19,3.24460481328432e-06,1.92602013326299e-05,7.41211613745107e-06
42.5,3.16538031994871e-06,1.78464241379743e-05,4.35597324931337e-06
42.86,3.74701210852482e-06,2.0007742089676e-05,5.59443236189648e-06
43.12,2.78889501501051e-06,1.77977128334474e-05,7.00067129353934e-06
43.39,3.06818929645585e-06,1.9233894694245e-05,8.61562853414528e-06
43.55,3.21018271493929e-06,1.82551030552547e-05,5.04512396694215e-06
43.77,2.85888828395852e-06,1.74625685292834e-05,5.60355371900826e-06
44.08,3.21491727424677e-06,1.9845663061747e-05,9.08081774684646e-06
44.3,3.13452261930316e-06,1.85659708853345e-05,6.3825940081638e-06
44.62,4.88227471505042e-06,2.53108430543779e-05,1.07568791500754e-05
44.92,3.02307488438459e-06,1.93907669083758e-05,9.3080491756053e-06
45.07,3.42179685176394e-06,1.99823867427307e-05,7.87102502192531e-06
45.4,2.69635658318632e-06,1.6846416811524e-05,5.18025056909605e-06
45.68,3.66132183229466e-06,1.97564670248027e-05,5.4996264576273e-06
45.86,2.54841225595159e-06,1.72053425378542e-05,7.18458895171814e-06
46.18,2.56343088771312e-06,2.03014577448917e-05,1.50117268377555e-05
46.45,3.17434057078067e-06,1.95116490028694e-05,8.4538132293404e-06
46.75,3.88937564507518e-06,2.16870668929088e-05,8.73398446873978e-06
47.05,1.84921053605585e-06,1.6978713314466e-05,1.17473335253137e-05
47.35,3.26439403977997e-06,1.97512846792766e-05,8.37557790794617e-06
47.65,2.43005232190303e-06,1.83285761369337e-05,1.08939517482194e-05
47.9,3.42023039794177e-06,1.84497341580302e-05,3.86688617745854e-06
48.15,3.23465148092248e-06,2.02631323667924e-05,9.88503195862522e-06
48.4,4.37315955885495e-06,2.29263499415918e-05,8.2788719381255e-06
48.71,3.7401991619214e-06,2.02602309169347e-05,6.11789691170074e-06
48.92,2.51513047252443e-06,1.75949336252368e-05,8.34714050720361e-06
49.2,3.58422938888759e-06,2.00453762872827e-05,6.70704740435051e-06
49.51,1.49595377220277e-06,1.50077472199175e-05,9.24392858150227e-06
49.72,3.30560987786589e-06,2.01830005226341e-05,9.10718365242823e-06
50.02,3.42023039794177e-06,1.84731745112915e-05,3.86688617745854e-06
50.32,3.23465148092248e-06,2.02885143004131e-05,9.88503195862522e-06
50.62,4.37315955885495e-06,2.29545725873796e-05,8.2788719381255e-06
50.92,3.7401991619214e-06,2.02861435297113e-05,6.11789691170074e-06
51.22,2.51513047252443e-06,1.76195564414102e-05,8.34714050720361e-06
51.52,3.58422938888759e-06,2.00723851977598e-05,6.70704740435051e-06
51.82,1.49595377220277e-06,1.50302145978969e-05,9.24392858150227e-06
52.12,3.30560987786589e-06,2.02110273449242e-05,9.10718365242823e-06
52.42,6.52737889524185e-07,1.49065406999072e-05,1.51555580627874e-05
52.72,1.32821292536482e-06,1.63139736760998e-05,1.37508814486785e-05
53.02,2.59014523273615e-06,1.73544407383816e-05,7.06347759895607e-06
53.32,2.39853657767789e-06,1.68252571141852e-05,7.11921922575033e-06
53.62,1.86359654463116e-06,1.52742400950524e-05,7.10158187074351e-06
53.92,2.94939073445569e-06,1.82032543169122e-05,6.55166811657242e-06
54.22,2.26766170801322e-06,1.68132000818609e-05,8.03338190517616e-06
54.52,2.5617996623717e-06,1.84144866433255e-05,9.94531970421923e-06
54.706,6.52737889524185e-07,1.49286090043231e-05,1.51555580627874e-05
54.966,1.32821292536482e-06,1.63368714697644e-05,1.37508814486785e-05
55.216,2.59014523273615e-06,1.73777990598657e-05,7.06347759895607e-06
55.456,2.39853657767789e-06,1.6847552188514e-05,7.11921922575033e-06
55.661,1.86359654463116e-06,1.52943528960961e-05,7.10158187074351e-06
55.911,2.94939073445569e-06,1.82250801581499e-05,6.55166811657242e-06
56.171,2.26766170801322e-06,1.6833546404542e-05,8.03338190517616e-06
56.481,2.71899313509988e-06,1.85739375652397e-05,9.13385183296242e-06
56.731,2.62384189643925e-06,1.79684594629211e-05,8.28307654550901e-06
56.991,2.66247932201523e-06,1.81358027444268e-05,8.41762398178124e-06
57.231,2.61053839944625e-06,1.82061611713987e-05,8.97541539799913e-06
57.491,2.73418889483481e-06,1.74563222184636e-05,6.13563288386255e-06
