depth [m],temp [K]
20,-25.17
22,-25.16
24,-25.14
26,-25.12
28,-25.1
30,-25.08
32,-25.07
34,-25.05
36,-25.03
38,-25.02
40,-25
42,-24.98
44,-24.96
46,-24.94
48,-24.92
50,-24.9
52,-24.88
54,-24.86
56,-24.84
58,-24.82
60,-24.79
62,-24.77
64,-24.75
66,-24.73
68,-24.7
70,-24.68
78,-24.58
86,-24.49
94,-24.39
102,-24.28
110,-24.18
118,-24.07
126,-23.97
134,-23.86
142,-23.75
150,-23.63
158,-23.52
166,-23.4
174,-23.29
182,-23.17
190,-23.05
198,-22.92
206,-22.79
214,-22.67
222,-22.54
230,-22.41
238,-22.27
246,-22.13
254,-22
262,-21.85
270,-21.71
278,-21.56
286,-21.42
294,-21.27
302,-21.12
310,-20.97
318,-20.81
326,-20.65
334,-20.49
342,-20.33
350,-20.17
358,-20
366,-19.84
374,-19.67
382,-19.5
390,-19.32
398,-19.15
406,-18.98
414,-18.8
422,-18.62
430,-18.44
438,-18.25
446,-18.06
454,-17.88
462,-17.69
470,-17.5
478,-17.31
486,-17.11
494,-16.92
502,-16.72
510,-16.52
518,-16.33
526,-16.13
534,-15.92
542,-15.72
550,-15.51
558,-15.3
566,-15.1
574,-14.88
582,-14.67
590,-14.46
598,-14.25
606,-14.03
614,-13.82
622,-13.6
630,-13.38
638,-13.16
646,-12.94
654,-12.72
662,-12.5
670,-12.27
678,-12.04
686,-11.82
694,-11.59
702,-11.37
710,-11.14
718,-10.91
726,-10.68
734,-10.45
742,-10.22
750,-9.99
758,-9.76
766,-9.52
774,-9.29
782,-9.05
790,-8.82
798,-8.59
806,-8.34
814,-8.11
822,-7.87
830,-7.63
838,-7.39
846,-7.15
854,-6.91
862,-6.67
870,-6.43
878,-6.19
886,-5.94
894,-5.7
902,-5.45
910,-5.21
918,-4.97
926,-4.72
934,-4.48
942,-4.23
950,-3.99
958,-3.74
966,-3.49
974,-3.25
982,-3
990,-2.75
1005.6,-2.33
