depth [m],acid [mol/L],conductivity [S/m],sscl [mol/L]
150,2.12644543750461e-06,1.85784083078665e-06,3.92068372211096e-07
160,1.20356251523937e-06,1.1626729284085e-06,2.98987391758102e-07
170,1.65134892168205e-06,1.51432795166128e-06,3.89247736439794e-07
180,1.24687305706936e-06,1.20460920403719e-06,2.93346120215497e-07
207,1.70856661226925e-06,1.57330639279078e-06,3.21552477928525e-07
217,1.28067885913866e-06,1.25498565734348e-06,3.41296928327645e-07
247,1.26593176674018e-06,1.24975730712643e-06,2.46805629989e-07
270,1.90797038905763e-06,1.75819256624674e-06,2.0788085634502e-07
280,6.30079966962389e-07,8.02830928020907e-07,5.18996981919725e-07
290,5.94248192681969e-07,7.87314436382183e-07,5.92333511973599e-07
309,1.26947035301659e-06,1.30313561959736e-06,3.72323921811976e-07
322,8.86252036161957e-07,1.04301014612393e-06,6.8259385665529e-07
330,6.29921137774784e-07,8.25092734860953e-07,5.21817617691028e-07
360,1.94118434164966e-06,2.32684591258398e-06,4.25916001466731e-06
374,2.17718748934045e-06,2.58137088805522e-06,4.68225538036273e-06
380,7.70562939616872e-07,1.60269583408509e-06,6.00795419287507e-06
409,1.33093801508724e-06,1.93775571396589e-06,4.76687445350182e-06
431,1.66240249749888e-07,1.26019869241133e-06,6.99517671283107e-06
464,0,8.50902598803951e-07,4.56942994951062e-06
483,1.51743045596253e-06,2.25647621336646e-06,5.52844611175359e-06
503,1.51139537006236e-06,1.866774486974e-06,2.20291653738753e-06
513,1.05935450698878e-06,1.70776263418629e-06,3.97709643753702e-06
531,1.28043427874381e-06,1.93104649473499e-06,4.11812822610216e-06
544,9.82503955563953e-07,1.6757044463575e-06,4.03350915296308e-06
567,1.98864993821123e-07,9.41721004483786e-07,3.46938199870251e-06
586,1.83491344486348e-06,2.35507813783919e-06,3.18731842157222e-06
598,2.96920158933901e-07,1.11797091797637e-06,4.03350915296308e-06
609,8.02388785553195e-07,1.7137476999782e-06,5.13355710377119e-06
619,1.26195822718172e-06,2.11805416990405e-06,5.02073167291908e-06
