depth [m],temp [K]
5,-54.95986667
15,-55.8079
25,-56.28323333
35,-56.54936667
45,-56.6834
55,-56.73273333
65,-56.7335
75,-56.7051
85,-56.65923333
95,-56.6043
105,-56.5443
115,-56.4817
125,-56.41786667
135,-56.3534
145,-56.2886
155,-56.22353333
165,-56.1582
175,-56.09243333
185,-56.0264
195,-55.9598
205,-55.89263333
215,-55.82486667
225,-55.7565
235,-55.68736667
245,-55.6176
255,-55.5471
265,-55.47576667
275,-55.40366667
285,-55.3308
295,-55.25716667
305,-55.185975
315,-55.11029
325,-55.03304
335,-54.95554
345,-54.87804
355,-54.80054
365,-54.72304
375,-54.6455395
385,-54.568039
395,-54.490539
405,-54.4122205
415,-54.332395
425,-54.2518815
435,-54.171368
445,-54.0908545
455,-54.010341
465,-53.9298275
475,-53.8493145
485,-53.768801
495,-53.6878955
505,-53.605422
515,-53.5217725
525,-53.4381235
535,-53.354474
545,-53.2708245
555,-53.1871755
565,-53.103526
575,-53.0198765
585,-52.9362275
595,-52.850981
605,-52.7640665
615,-52.677081
625,-52.5900955
635,-52.50311
645,-52.4161245
655,-52.329139
665,-52.2421535
675,-52.155168
685,-52.066985
695,-51.976999
705,-51.8864075
715,-51.795816
725,-51.705224
735,-51.6146325
745,-51.524041
755,-51.433449
765,-51.342857
775,-51.251545
785,-51.158294
795,-51.0638235
805,-50.969353
815,-50.874883
825,-50.780413
835,-50.685943
845,-50.5914725
855,-50.497002
865,-50.402368
875,-50.305657
885,-50.2070325
895,-50.108408
905,-50.0097835
915,-49.911159
925,-49.8125345
935,-49.71391
945,-49.6152855
955,-49.5166605
965,-49.416291
975,-49.3137005
985,-49.2106335
995,-49.1075665
1005,-49.0044995
1015,-48.9014325
1025,-48.7983655
1035,-48.6952985
1045,-48.592232
1055,-48.4880125
1065,-48.381454
1075,-48.27371
1085,-48.165966
1095,-48.058222
1105,-47.950478
1115,-47.842734
1125,-47.73499
1135,-47.627246
1145,-47.519012
1155,-47.4083215
1165,-47.295665
1175,-47.1830085
1185,-47.0703515
1195,-46.957695
