depth [m],temp [K]
70.116,-29.973
70.146,-29.975
70.246,-29.975
70.336,-29.976
70.436,-29.98
70.546,-29.985
70.676,-29.991
70.815,-29.996
70.955,-30.001
71.095,-30.007
71.225,-30.012
71.355,-30.017
71.495,-30.021
71.625,-30.025
71.775,-30.028
71.915,-30.03
72.045,-30.033
72.175,-30.036
72.295,-30.038
72.424,-30.04
72.554,-30.041
72.674,-30.042
72.804,-30.043
72.924,-30.044
73.054,-30.044
73.184,-30.045
73.304,-30.046
73.424,-30.047
73.554,-30.047
73.674,-30.048
73.794,-30.048
73.923,-30.049
74.043,-30.049
74.163,-30.05
74.283,-30.05
74.413,-30.051
74.533,-30.052
74.653,-30.052
74.773,-30.053
74.903,-30.054
75.023,-30.054
75.143,-30.054
75.263,-30.055
75.413,-30.055
75.532,-30.055
75.662,-30.055
75.782,-30.056
75.902,-30.056
76.022,-30.056
76.152,-30.056
76.262,-30.056
76.392,-30.056
76.512,-30.056
76.632,-30.057
76.752,-30.057
76.872,-30.057
76.992,-30.057
77.111,-30.057
77.231,-30.057
77.351,-30.057
77.471,-30.057
77.591,-30.057
77.721,-30.057
77.841,-30.057
77.961,-30.057
78.081,-30.057
78.201,-30.058
78.321,-30.058
78.441,-30.058
78.561,-30.058
78.681,-30.058
78.8,-30.058
78.92,-30.058
79.07,-30.058
79.19,-30.058
79.31,-30.058
79.43,-30.058
79.55,-30.058
79.67,-30.058
79.79,-30.058
79.91,-30.058
80.03,-30.058
80.15,-30.058
80.28,-30.058
80.39,-30.057
80.519,-30.057
80.639,-30.057
80.759,-30.057
80.879,-30.057
80.999,-30.057
81.119,-30.057
81.239,-30.057
81.369,-30.057
81.479,-30.057
81.599,-30.057
81.729,-30.057
81.849,-30.056
81.969,-30.056
82.089,-30.056
82.208,-30.056
82.328,-30.056
82.448,-30.056
82.568,-30.056
82.688,-30.056
82.838,-30.056
82.958,-30.056
83.078,-30.056
83.198,-30.056
83.318,-30.056
83.438,-30.056
83.558,-30.056
83.678,-30.056
83.798,-30.056
83.918,-30.056
84.038,-30.056
84.167,-30.056
84.287,-30.056
84.407,-30.055
84.527,-30.055
84.647,-30.055
84.767,-30.055
84.887,-30.055
85.007,-30.055
85.127,-30.054
85.247,-30.054
85.367,-30.054
85.487,-30.054
85.607,-30.054
85.727,-30.053
85.857,-30.053
85.977,-30.053
86.096,-30.053
86.216,-30.053
86.336,-30.053
86.476,-30.052
86.606,-30.052
86.726,-30.052
86.846,-30.052
86.966,-30.052
87.086,-30.052
87.206,-30.051
87.326,-30.051
87.446,-30.051
87.576,-30.051
87.696,-30.051
87.816,-30.05
87.936,-30.05
88.056,-30.05
88.176,-30.05
88.295,-30.05
